Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations,Sequence_Index,new_cases_predicted,new_cases_difference,new_deaths_predicted,new_deaths_difference,icu_patients_predicted,icu_patients_difference,hosp_patients_predicted,hosp_patients_difference
2020,37,61432,258,4245,35433,0.0,26,187465.52934379986,-126033.52934379986,1113.4918214638565,-855.4918214638565,12222.279000660179,-7977.279000660179,124501.61139852075,-89068.61139852075
2020,38,73481,429,5527,39413,0.0,27,187465.52934379986,-113984.52934379986,1113.4918214638565,-684.4918214638565,12222.279000660179,-6695.279000660179,124501.61139852075,-85088.61139852075
2020,39,72509,559,7201,41798,0.0,28,187465.52934379986,-114956.52934379986,1113.4918214638565,-554.4918214638565,12222.279000660179,-5021.279000660179,124501.61139852075,-82703.61139852075
2020,40,74819,561,8741,46529,0.0,29,187465.52934379986,-112646.52934379986,1113.4918214638565,-552.4918214638565,12222.279000660179,-3481.279000660179,124501.61139852075,-77972.61139852075
2020,41,116159,690,10028,53820,0.0,30,187465.52934379986,-71306.52934379986,1113.4918214638565,-423.49182146385647,12222.279000660179,-2194.279000660179,124501.61139852075,-70681.61139852075
2020,42,167835,963,12175,67673,0.0,31,187465.52934379986,-19630.529343799863,1113.4918214638565,-150.49182146385647,12222.279000660179,-47.27900066017901,124501.61139852075,-56828.61139852075
2020,43,261329,1774,16305,98322,0.0,32,187465.52934379986,73863.47065620014,1113.4918214638565,660.5081785361435,12222.279000660179,4082.720999339821,124501.61139852075,-26179.61139852075
2020,44,332505,3154,22233,147234,0.0,33,187465.52934379986,145039.47065620014,1113.4918214638565,2040.5081785361435,12222.279000660179,10010.720999339821,124501.61139852075,22732.38860147925
2020,45,303116,4794,29149,195844,0.0,34,187465.52934379986,115650.47065620014,1113.4918214638565,3680.5081785361435,12222.279000660179,16926.72099933982,124501.61139852075,71342.38860147925
2020,46,176429,5487,33708,225341,0.0,35,187465.52934379986,-11036.529343799863,1113.4918214638565,4373.5081785361435,12222.279000660179,21485.72099933982,124501.61139852075,100839.38860147925
2020,47,114947,5602,32687,226492,0.0,36,187465.52934379986,-72518.52934379986,1113.4918214638565,4488.5081785361435,12222.279000660179,20464.72099933982,124501.61139852075,101990.38860147925
2020,48,77077,4679,28237,206312,0.0,37,187465.52934379986,-110388.52934379986,1113.4918214638565,3565.5081785361435,12222.279000660179,16014.720999339821,124501.61139852075,81810.38860147925
2020,49,71372,3963,23939,188086,0.0,38,187465.52934379986,-116093.52934379986,1113.4918214638565,2849.5081785361435,12222.279000660179,11716.720999339821,124501.61139852075,63584.38860147925
2020,50,77674,3792,20832,178038,0.0,39,187465.52934379986,-109791.52934379986,1113.4918214638565,2678.5081785361435,12222.279000660179,8609.720999339821,124501.61139852075,53536.38860147925
2020,51,92919,3383,19632,175812,0.0,40,187465.52934379986,-94546.52934379986,1113.4918214638565,2269.5081785361435,12222.279000660179,7409.720999339821,124501.61139852075,51310.38860147925
2020,52,83888,3119,18706,173015,0.0,41,187465.52934379986,-103577.52934379986,1113.4918214638565,2005.5081785361435,12222.279000660179,6483.720999339821,124501.61139852075,48513.38860147925
2021,1,122263,3429,18279,172172,111759.90000000001,42,193558.21301920642,-71295.21301920642,1105.90294960047,2323.09705039953,12447.168330892571,5831.831669107429,124206.20689775531,47965.79310224469
